mRNA,logFC,logCPM,F,PValue,FDR
IGFBP5,7.968872777,12.58068384,1205482.445,1.78E-08,6.64E-05
SLC38A11,7.608878378,5.882827649,6853.452655,0.000639942,0.005488327
KIAA1199,7.357564894,10.69339461,410446.2523,7.27E-08,7.03E-05
SYNPO2,7.288796881,5.606032031,97971.12063,7.48E-05,0.001083323
GRIA1,7.115950014,5.460201489,2320.794573,0.001532943,0.01095588
DIO2,7.040562929,5.397473648,2936.826004,0.001267815,0.009583429
ANGPT1,7.001339415,5.365056489,547.2079028,0.004912743,0.028447205
ALDH1A1,6.554948424,10.58251097,35369.44299,1.79E-06,0.000102001
INMT,6.536178321,4.993128021,120100.7333,6.35E-05,0.000976246
SGCD,6.421995933,4.905673281,125278.1913,6.13E-05,0.000953845
UBL4B,6.297993806,4.812571977,131523.8852,5.90E-05,0.000930577
TENM2,6.231752299,4.763666338,888.689189,0.00332401,0.020631619
LRRN4CL,6.231752299,4.763666338,888.689189,0.00332401,0.020631619
ACAN,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
F2RL2,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
FAM20A,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
ITGA8,6.01255597,4.606137305,149256.4182,5.33E-05,0.00086904
WNT2,5.9681716,7.4824792,128783.425,3.31E-07,7.03E-05
TMEM130,5.931407886,4.549557919,490.8153601,0.005362354,0.03058051
MXRA5,5.869365484,7.388914565,34669.14567,1.84E-06,0.000104241
AKAP6,5.845421614,4.490668191,162176.8326,4.98E-05,0.00082634
COL3A1,5.70568188,10.72948701,1146305.85,1.90E-08,6.64E-05
PTGFR,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
GPC6,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
JPH2,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
GALNT15,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
NCKAP5,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
MGP,5.567081437,7.104899726,70332.67679,7.29E-07,7.67E-05
MYL10,5.551640256,4.298035361,292.2538392,0.008137477,0.042910415
MAMDC2,5.551640256,4.298035361,292.2538392,0.008137477,0.042910415
TAGLN,5.440181268,10.89259641,108237.5181,4.15E-07,7.03E-05
GDF5,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
VCAN,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
PODNL1,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
TNFRSF11B,5.408475226,9.46134138,20963.17344,3.55E-06,0.000158564
GAS1,5.366747919,7.805743297,48551.94404,1.18E-06,8.19E-05
PTX3,5.344808203,8.886852179,6803.112455,1.54E-05,0.000405429
ACTA2,5.338703486,10.19798038,40318.71052,1.51E-06,9.29E-05
THBS1,5.324540625,12.67879206,632782.0601,4.13E-08,6.64E-05
SLC38A4,5.316213789,4.153653557,211.081091,0.010567931,0.050685908
METTL24,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
C21orf2,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
HNMT,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
SULF1,5.25384985,9.603083748,46753.52915,1.24E-06,8.43E-05
PRELP,5.196464766,5.97163017,108.1719832,0.003379593,0.020916108
AKR1C3,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
HSD17B2,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
ACOX2,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
CLIC3,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
CORIN,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
PLEKHA6,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
HMCN1,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
BEND6,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
AKR1C1,5.170433572,6.738250682,5386.399905,2.09E-05,0.000484071
IGFBP3,5.15611596,12.09649516,284183.2301,1.18E-07,7.03E-05
COL1A1,5.130223609,12.69939279,357557.2887,8.71E-08,7.03E-05
CCRL1,5.084943547,6.660272378,4815.22856,2.42E-05,0.000527282
CHRM2,5.067065561,5.8597576,96.20700845,0.003927313,0.023847311
SVEP1,5.064181567,7.519759009,13832.48277,6.11E-06,0.000223363
C10orf105,5.034731277,3.993196811,154.5722809,0.01356707,0.062936538
AKR1C4,5.034731277,3.993196811,154.5722809,0.01356707,0.062936538
THBS2,5.027964504,9.093412311,16411.57099,4.88E-06,0.000198365
PTGIS,4.978347921,6.563624521,13216.58731,6.48E-06,0.000231127
ALPK2,4.930137317,6.520134904,123546.2609,3.49E-07,7.03E-05
POSTN,4.894712187,5.712940302,84.43348598,0.004640353,0.027164739
ADAMTS1,4.871893925,8.2708717,199308.3334,1.87E-07,7.03E-05
ZNF469,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
ECM2,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
CDA,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
HEPH,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
NLGN1,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
FRAS1,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
PSG11,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
COL1A2,4.844210374,12.53947189,264384.9561,1.29E-07,7.03E-05
FAM198B,4.832360739,5.660481155,79.80098311,0.004986601,0.028811719
GPR133,4.828596292,6.429011244,120209.406,3.62E-07,7.03E-05
CCDC80,4.817787902,9.267464473,19200.70919,3.98E-06,0.000172799
MYLK,4.775436828,8.618464206,10354.42553,8.92E-06,0.000283436
WNT5A,4.772875875,8.736975075,224003.4375,1.60E-07,7.03E-05
PCDH18,4.719363752,6.331738278,117497.0811,3.73E-07,7.03E-05
MRVI1,4.719363752,6.331738278,117497.0811,3.73E-07,7.03E-05
ALDH3B2,4.684681836,3.812632854,80.70468419,0.02774899,0.110387128
TNFSF18,4.684681836,3.812632854,80.70468419,0.02774899,0.110387128
ASPN,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
LPAR6,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
C7orf69,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
DCN,4.679472873,10.19581068,639892.7861,4.07E-08,6.64E-05
OSR2,4.669005403,8.239976885,6140.349046,1.77E-05,0.000436107
MASP1,4.601178264,6.227425861,115267.0654,3.82E-07,7.03E-05
LOX,4.597378167,9.284868832,126509.3631,3.39E-07,7.03E-05
COL12A1,4.563123158,9.252112714,445001.0612,6.54E-08,7.03E-05
SEMA5A,4.484233046,6.982110145,19534.56577,3.89E-06,0.00016976
ARSE,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
KCNMA1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
WISP1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
EREG,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
CPS1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
DPT,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
EDNRA,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
FMO1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
B3GALT2,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
KIAA1549L,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
CFHR3,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ALX4,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ITIH5,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
C10orf107,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ADAMTS6,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
OLFML1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
NAALADL2,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
LMOD1,4.4569189,6.591914732,633.853502,0.000342027,0.003399938
ACTG2,4.416959863,7.841527734,9550.395889,9.91E-06,0.000305542
NTN4,4.38226938,8.580247218,360925.9383,8.60E-08,7.03E-05
EFEMP1,4.334180993,8.721125592,85384.94084,5.66E-07,7.51E-05
TMEM176A,4.300519003,7.104927772,1505.968092,0.000110642,0.001444521
CPA4,4.298772592,5.227578233,51.74389817,0.008631985,0.045133465
PDGFRB,4.280062811,8.018522169,49996.08259,1.14E-06,8.01E-05
LUM,4.271087403,10.24322236,79314.82605,6.23E-07,7.55E-05
AKR1C2,4.251902317,5.191056497,50.75849209,0.008843177,0.045995242
EGFL6,4.251902317,5.191056497,50.75849209,0.008843177,0.045995242
SLIT3,4.24781446,7.297497797,9346.473112,1.02E-05,0.00030805
LAMA2,4.209916908,7.262748297,133596.422,3.15E-07,7.03E-05
PDGFRA,4.170084687,8.166773406,55180.01423,1.00E-06,7.98E-05
A2M,4.127612657,6.660290854,112648.4664,3.94E-07,7.03E-05
LAMA4,4.108527623,8.109297689,52055.92951,1.08E-06,8.00E-05
CTGF,4.105611466,10.0565617,277829.0832,1.21E-07,7.03E-05
COL5A2,4.09814855,8.81095403,45588.59225,1.29E-06,8.56E-05
SPARC,4.085172994,11.11192544,1177343.024,1.83E-08,6.64E-05
MFAP5,4.064031055,6.245353243,381.8794147,0.000661417,0.005657422
GRIA3,4.047525586,5.034953493,42.72652683,0.010972256,0.05242979
ADAMTS5,4.047525586,5.034953493,42.72652683,0.010972256,0.05242979
SEMA3D,4.047525586,5.034953493,42.72652683,0.010972256,0.05242979
GPR124,4.036728263,7.104937181,20340.2312,3.69E-06,0.00016324
RECK,4.029516922,7.482535406,5678.968886,1.95E-05,0.000460008
SYNC,4.01871714,6.563643001,23027.83027,3.14E-06,0.000147412
VGLL3,4.002467486,6.549291836,107220.7139,4.20E-07,7.03E-05
TMTC1,4.002467168,6.549291655,5065.352089,2.27E-05,0.000504608
PODN,3.999709646,8.008094393,46826.32352,1.24E-06,8.43E-05
MAB21L1,3.998487305,5.712949914,1053.075884,0.000176456,0.002060656
WFDC1,3.996211897,7.45201658,8952.088817,1.08E-05,0.000317698
FBN2,3.986855544,8.558987108,328820.8411,9.72E-08,7.03E-05
ADAM33,3.977867499,7.73786632,147455.3756,2.77E-07,7.03E-05
COL6A3,3.957024266,8.934597615,91244.91639,5.19E-07,7.51E-05
OLFML3,3.955809848,7.236134382,1920.475897,8.06E-05,0.001147071
TIMP3,3.920348557,9.472963652,235422.3865,1.50E-07,7.03E-05
MYL3,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
GDF6,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
ADAMTSL1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
LNP1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
NUTM2A,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PTPRQ,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
ARHGDIB,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
MAP2,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
SFRP4,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
B3GALT4,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CAPS,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
SLC24A1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CDH6,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
KCNJ8,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PDE1A,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CCL7,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
METTL7A,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CLUL1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
HECW1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
SHC3,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
FAM120C,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PCDHB7,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PDE7B,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
KCNS2,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CCDC81,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CCDC102B,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
CCDC176,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PCDHGA3,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
NCALD,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PCDHGB1,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
ASB5,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
IL20RB,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
COX18,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
LENG9,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
FAM151B,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
PTCHD4,3.91879819,3.490716831,355111.5681,0.032963942,0.125212401
FHL1,3.912281607,9.058589923,17176.85451,4.60E-06,0.000189283
NQO1,3.893096031,7.659911799,30047.05344,2.22E-06,0.000116919
FKBP9,3.867068181,8.52278538,9385.883673,1.01E-05,0.000307806
GJA1,3.866450398,8.727557091,10477.57117,8.78E-06,0.000280476
FN1,3.858613724,11.48611272,960782.1078,2.39E-08,6.64E-05
RHOBTB3,3.844402881,8.262183669,167809.2492,2.34E-07,7.03E-05
FBN1,3.828462057,8.692135656,188663.7218,2.01E-07,7.03E-05
MGARP,3.814846173,6.905341142,8563.410363,1.14E-05,0.000330617
TNXB,3.798176659,5.549475281,112305.4312,3.96E-07,7.03E-05
CALD1,3.796949033,9.735505773,69695.43405,7.38E-07,7.67E-05
TMEM119,3.791694239,6.364915909,2537.415759,5.60E-05,0.000901192
FSTL1,3.790426514,10.79111433,27705.49192,2.46E-06,0.000123159
SULF2,3.788183863,7.262766926,122565.1314,3.53E-07,7.03E-05
TMEM176B,3.776469121,6.871137795,14888.08931,5.55E-06,0.000210057
NNMT,3.752442339,7.992300104,18302.14627,4.24E-06,0.000178415
TMEM47,3.748732033,7.22715912,120213.4161,3.62E-07,7.03E-05
ITGBL1,3.724709791,5.490589687,112687.2231,3.94E-07,7.03E-05
COL8A1,3.724709791,5.490589687,112687.2231,3.94E-07,7.03E-05
ADAMTS12,3.724709791,5.490589687,112687.2231,3.94E-07,7.03E-05
SBSPON,3.724709791,5.490589687,112687.2231,3.94E-07,7.03E-05
ITGA11,3.713988931,6.297817695,97376.69384,4.77E-07,7.22E-05
PBX1,3.686524215,5.460220176,2404.204085,6.01E-05,0.000944789
LOXL1,3.681557487,7.927252793,44131.05364,1.34E-06,8.74E-05
MYL9,3.674284689,10.73882242,129584.6724,3.28E-07,7.03E-05
NEXN,3.662391749,6.534805634,865.9944938,0.00022773,0.002522866
SLC7A11,3.65283396,6.245362308,12392.47943,7.05E-06,0.000243351
DAPK2,3.647300063,5.429197238,112945.6497,3.93E-07,7.03E-05
FAP,3.639176622,7.428715208,9416.613387,1.01E-05,0.000307611
TNC,3.626011052,7.876464699,149706.8672,2.72E-07,7.03E-05
CAV1,3.614099812,9.225516498,4627.498834,2.55E-05,0.000546039
GALNT5,3.610574715,6.209301136,11527.65791,7.75E-06,0.000261176
TNS3,3.604047542,7.397022258,121894.0921,3.55E-07,7.03E-05
AARD,3.600728961,4.713053664,27.92609566,0.018545247,0.080734854
TINAGL1,3.593909647,6.475320595,681.0777901,0.000311458,0.003169486
HSPB6,3.567040486,6.172315193,6147.978167,1.76E-05,0.000436107
LBH,3.562912442,8.62543963,14914.83559,5.54E-06,0.000210057
CDH11,3.559065525,7.910530844,5937.684345,1.84E-05,0.000448765
CD248,3.547761306,8.152673481,61704.5357,8.65E-07,7.69E-05
GAS6,3.545247358,9.749719979,19618.54512,3.87E-06,0.000169385
RCAN2,3.544770617,6.153460299,1759.736986,9.03E-05,0.001247102
LMCD1,3.54476998,6.153459938,2341.834828,6.22E-05,0.000960792
HEG1,3.526874063,8.133580837,149659.374,2.72E-07,7.03E-05
TPM2,3.510979392,10.55862183,169395.0783,2.31E-07,7.03E-05
COL15A1,3.479417924,7.143681147,1944.288658,7.93E-05,0.001135041
SSTR1,3.478781949,5.297968898,113018.0571,7.39E-07,7.67E-05
PSG9,3.478781949,5.297968898,113018.0571,7.39E-07,7.67E-05
MFAP4,3.464174475,8.355810567,3316.770621,3.95E-05,0.000728828
PAPSS2,3.45128968,8.06468933,51448.46816,1.10E-06,8.00E-05
DRAM1,3.441474488,8.335071877,236365.1774,1.50E-07,7.03E-05
PDGFD,3.433386613,5.26320762,1646.292538,9.85E-05,0.001333267
SSC5D,3.433386294,5.263207439,2174.193439,6.85E-05,0.001017743
OXTR,3.396397111,7.339834866,3136.493917,4.25E-05,0.000764834
ARID5B,3.38697078,6.90535997,100380.0708,4.58E-07,7.19E-05
PSG7,3.386516019,5.227587669,112758.375,2.12E-06,0.000112996
TENC1,3.386516019,5.227587669,112758.375,2.12E-06,0.000112996
FMN2,3.386516019,5.227587669,112758.375,2.12E-06,0.000112996
THSD4,3.386516019,5.227587669,112758.375,2.12E-06,0.000112996
ANTXR1,3.371783297,7.82978432,129370.4206,3.29E-07,7.03E-05
ASPH,3.358599447,8.19475702,7193.104975,1.44E-05,0.000391479
CD302,3.356768878,4.549567177,23.09870056,0.02333588,0.096509799
FGF1,3.356768878,4.549567177,23.09870056,0.02333588,0.096509799
PSG5,3.346924831,8.248994762,8493.709411,1.16E-05,0.000333418
CTHRC1,3.345818101,6.263069964,378.3087401,0.000669544,0.005710489
FMO4,3.338071732,5.191065932,1421.930874,0.000119253,0.001521446
RHOJ,3.338071413,5.191065752,1845.236861,8.49E-05,0.001191445
TPM1,3.334017568,9.912210676,460583.8912,6.25E-08,7.03E-05
FRMD6,3.319205123,7.389007674,22178.48663,3.30E-06,0.000151515
PDE5A,3.300834315,5.949967158,88498.97233,5.40E-07,7.51E-05
CITED2,3.299433086,9.644429171,30353.12149,2.19E-06,0.00011633
CYBRD1,3.299346777,8.384379767,9193.787969,1.04E-05,0.000311752
FLNA,3.296998008,10.19630021,101125.2869,4.54E-07,7.19E-05
FAM65B,3.287943713,5.153595186,112373.6927,6.02E-06,0.000220964
RASSF2,3.287943713,5.153595186,112373.6927,6.02E-06,0.000220964
RDH10,3.279145505,7.563329416,116976.0801,3.75E-07,7.03E-05
USP53,3.27660357,7.744231785,111212.1704,4.01E-07,7.03E-05
CFHR1,3.260023991,6.190936165,542.223483,0.00041916,0.003962456
C1S,3.239499469,9.785344208,203872.8039,1.81E-07,7.03E-05
LIMS2,3.238223105,6.775768792,2400.873871,6.02E-05,0.000944801
FGF7,3.236011379,5.115125179,1212.572174,0.000146802,0.001793234
CXCR7,3.236011379,5.115125179,1212.572174,0.000146802,0.001793234
IGFBP4,3.232225994,10.34319697,78333.87619,6.33E-07,7.55E-05
FBLN5,3.227636547,9.146969866,39775.31574,1.54E-06,9.33E-05
MME,3.220559454,8.659252658,5411.241239,2.08E-05,0.000482035
PAPPA,3.218814671,5.882865007,5831.88873,1.89E-05,0.000450666
LMO7,3.214727601,7.405038958,3643.573954,3.49E-05,0.000672728
FHL2,3.197617063,7.981716425,129796.7745,3.27E-07,7.03E-05
MEGF6,3.195352444,6.894058013,1755.248535,9.06E-05,0.001249926
EHD3,3.192155123,6.134364674,557.4729156,0.000404292,0.003866603
DAAM2,3.190405008,5.859785529,86584.8838,5.56E-07,7.51E-05
TRHDE,3.182139288,5.075600774,111963.4167,1.71E-05,0.000424739
COL14A1,3.182139288,5.075600774,111963.4167,1.71E-05,0.000424739
SLC2A1,3.176671763,8.432056341,51808.83752,1.09E-06,8.00E-05
CFH,3.176514174,7.262804185,103358.2985,4.41E-07,7.18E-05
GLT8D2,3.171969025,7.013862751,96433.53963,4.83E-07,7.23E-05
CYR61,3.161560675,9.608712721,72837.15221,6.97E-07,7.67E-05
DKK1,3.160852645,8.314067761,7412.916716,1.38E-05,0.000382036
EPAS1,3.154608579,8.765357973,295271.0292,1.12E-07,7.03E-05
FILIP1L,3.153965415,6.331775613,82939.34914,5.88E-07,7.51E-05
SDC1,3.135530717,6.982166256,2253.797987,6.54E-05,0.000991054
DHRS3,3.13126279,8.054610621,16000.48076,5.05E-06,0.000201242
C8orf4,3.126177263,5.03496275,1276.025,0.00013735,0.001698467
DTWD1,3.126177263,5.03496275,1276.025,0.00013735,0.001698467
RND3,3.126005656,9.312978325,51378.38669,1.10E-06,8.00E-05
DAB2,3.12178812,7.323085828,3328.722731,3.93E-05,0.00072748
THY1,3.119420123,9.503196655,17313.389,4.55E-06,0.000187936
IL1R1,3.114646165,6.824260767,1621.851532,0.000100438,0.00134962
ANGPTL2,3.110715996,6.960640798,32108.51194,2.03E-06,0.000110841
PSG3,3.110152537,5.460229429,190.2020462,0.001633336,0.011508449
LXN,3.101656377,5.788244495,3133.223577,4.25E-05,0.000764834
PDCD1LG2,3.101656377,5.788244495,3133.223577,4.25E-05,0.000764834
RGCC,3.096009569,7.075248702,1229.005173,0.000144246,0.001775221
MEST,3.092810444,6.280562323,10655.15169,8.59E-06,0.000277134
DDR2,3.082244954,7.389026116,61391.45333,8.71E-07,7.69E-05
PEAR1,3.0679569,4.993146715,111620.9569,4.80E-05,0.000817951
CLEC3B,3.0679569,4.993146715,111620.9569,4.80E-05,0.000817951
ADAM12,3.0679569,4.993146715,111620.9569,4.80E-05,0.000817951
PSG1,3.0679569,4.993146715,111620.9569,4.80E-05,0.000817951
JAM2,3.0679569,4.993146715,111620.9569,4.80E-05,0.000817951
NREP,3.062105947,7.162684416,16057.90852,5.03E-06,0.000200924
QPRT,3.03930461,5.738499552,2848.320883,4.81E-05,0.000818025
PARD3B,3.007287861,4.950082134,840.6789103,0.000236712,0.002590059
C15orf52,3.007287861,4.950082134,840.6789103,0.000236712,0.002590059
NFASC,3.007088017,5.712968416,83990.828,5.78E-07,7.51E-05
RPS6KA2,3.007088017,5.712968416,83990.828,5.78E-07,7.51E-05
SLC2A10,3.007088017,5.712968416,83990.828,5.78E-07,7.51E-05
GRAMD3,3.00701697,6.209319988,5249.919311,2.17E-05,0.000494364
PSG4,2.997235367,7.314637409,12317.19428,7.11E-06,0.000244641
EGR1,2.993818138,5.971667704,324.7940667,0.000816298,0.006744675
ARSJ,2.985644822,5.365084251,156.1150928,0.00210795,0.014214587
COL5A1,2.981077862,8.443763328,22410.28317,3.25E-06,0.000150006
TPM4,2.968282142,10.03285088,54442.66525,1.02E-06,7.99E-05
CRIM1,2.965449567,8.084776331,8291.895806,1.19E-05,0.000342525
CLDN11,2.962127747,6.172333865,4912.086489,2.36E-05,0.000517235
COL6A1,2.959547078,10.78034921,694219.0979,3.66E-08,6.64E-05
COL16A1,2.959383195,7.181422149,2831.063023,4.85E-05,0.00081982
PCOLCE,2.9503668,9.373198045,16464.54238,4.86E-06,0.000198156
FAXDC2,2.950071073,4.29804462,15.44112927,0.038126304,0.13932372
KCNE4,2.950071073,4.29804462,15.44112927,0.038126304,0.13932372
PSG8,2.943954773,4.905691975,111713.7063,0.000133872,0.00167039
INHBA,2.943954773,4.905691975,111713.7063,0.000133872,0.00167039
SIM1,2.943954773,4.905691975,111713.7063,0.000133872,0.00167039
MMP11,2.943954773,4.905691975,111713.7063,0.000133872,0.00167039
FAT4,2.943954773,4.905691975,111713.7063,0.000133872,0.00167039
PRSS12,2.938498488,6.520190889,78510.29643,6.32E-07,7.55E-05
SEMA3C,2.938498488,6.520190889,78510.29643,6.32E-07,7.55E-05
AHNAK,2.936784302,9.142291664,41493.60034,1.45E-06,9.07E-05
TWIST2,2.928584157,7.43658628,61392.41643,8.71E-07,7.69E-05
LAMC1,2.918040353,9.125501781,24909.88977,2.83E-06,0.000136006
KDELC2,2.915796506,6.134373921,7729.082382,1.31E-05,0.000364095
CXCL12,2.911798175,5.905590377,391.9441353,0.000639421,0.00548751
FAT1,2.908485123,7.725256292,108070.8421,4.16E-07,7.03E-05
LDB2,2.877713585,4.859892427,679.0370412,0.000312678,0.003171874
4-Mar,2.877713585,4.859892427,679.0370412,0.000312678,0.003171874
SLC2A12,2.877713585,4.859892427,679.0370412,0.000312678,0.003171874
TNFRSF19,2.877713585,4.859892427,679.0370412,0.000312678,0.003171874
FHOD3,2.867928197,6.095387876,7078.431973,1.47E-05,0.000396871
ATP2B4,2.864863374,7.199919843,15332.58826,5.34E-06,0.000206384
LRP1,2.860517396,9.223475903,316522.4382,1.02E-07,7.03E-05
LDLR,2.85791514,6.605905773,1178.241636,0.000152408,0.001837262
ZAK,2.85791514,6.605905773,1178.241636,0.000152408,0.001837262
COLEC12,2.846449631,8.2797945,5884.553828,1.87E-05,0.000450666
MSRB3,2.845091521,6.859600477,1583.981699,0.000103584,0.001384856
NID2,2.840224175,6.971462256,84304.67082,5.75E-07,7.51E-05
TRIM16L,2.83424115,5.578059161,2063.361225,7.33E-05,0.001070528
HOXA11,2.83424115,5.578059161,2063.361225,7.33E-05,0.001070528
CDC42EP3,2.832510374,7.172097631,88623.06723,5.39E-07,7.51E-05
KRT17,2.827561053,4.227659436,12.53408769,0.04960352,0.169690701
CDH13,2.818416959,6.055318524,6459.475052,1.65E-05,0.000420272
PCDHGB7,2.818416959,6.055318524,6459.475052,1.65E-05,0.000420272
FBLN1,2.817341142,11.08930027,37185.18756,1.68E-06,9.70E-05
MRC2,2.809153626,8.832063217,25978.89019,2.68E-06,0.000131187
SSPN,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
SLC8A1,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
EDA2R,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
PSG2,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
SGIP1,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
FIBIN,2.808283621,4.812590673,111683.1382,0.000370222,0.003610508
OSMR,2.805222884,6.699862988,18285.6942,4.24E-06,0.000178415
ADAMTS2,2.803385318,6.824279418,1744.210234,9.13E-05,0.001258913
SERPINF1,2.801846805,6.938808256,11291.96126,7.96E-06,0.000264856
CEBPD,2.801846805,6.938808256,11291.96126,7.96E-06,0.000264856
BDKRB2,2.801846487,6.938808075,26733.5704,2.58E-06,0.000127336
LAYN,2.800539839,7.044905696,1568.395014,0.000104929,0.001396385
GPX8,2.800539522,7.044905516,2403.14215,6.01E-05,0.000944789
ACTG1,2.7937055,11.94500011,144982.7367,2.83E-07,7.03E-05
PCDHGC3,2.793009386,6.034858555,72626.94555,6.99E-07,7.67E-05
GPNMB,2.781039994,8.222219394,12193.08278,7.20E-06,0.000247239
ZCCHC24,2.771383243,6.381250924,5826.008313,1.89E-05,0.000450666
NOV,2.767146316,6.01410413,3647.347202,3.49E-05,0.000672728
RNF150,2.758854384,5.520351759,1826.122689,8.60E-05,0.00120244
GSTA4,2.750796186,5.191075188,131.562359,0.002627971,0.017077168
PTGDS,2.740810799,5.993046468,71376.77516,7.15E-07,7.67E-05
EFEMP2,2.737046041,8.271103112,4577.740596,2.59E-05,0.00054817
PRKCDBP,2.73680918,7.938410922,879.6031129,0.000223147,0.002484922
CTSO,2.735342983,4.763685214,534.0803142,0.000613292,0.005320015
ABCC3,2.735342983,4.763685214,534.0803142,0.000613292,0.005320015
PRKG1,2.735342983,4.763685214,534.0803142,0.000613292,0.005320015
SPATA18,2.735342983,4.763685214,534.0803142,0.000613292,0.005320015
PIK3IP1,2.735342664,4.763685033,634.1309783,0.000613292,0.005320015
LRRC15,2.735342664,4.763685033,634.1309783,0.000613292,0.005320015
ORAI3,2.735342664,4.763685033,634.1309783,0.000613292,0.005320015
